Dataset Partition	Overrepresented lemmas
10	(uvr : 0.0001),(ng : 0.0247),(alp : 0.0246),(trehalose : 0.0001),(mutation : 0.0001),(wga : 0.0229),(systemic : 0.0446),(ultra : 0.0001),(tps : 0.0001),(form : 0.0143),(suberin : 0.0227),(product : 0.0234),(accumulation : 0.0001),(mode : 0.023),(locally : 0.038),(complex : 0.0001),(b : 0.0001),(usa : 0.0001),(conversi : 0.0002),(benchmarke : 0.0001),(tyrol : 0.023),(trait : 0.0001),(epiril : 0.0001),(psuc : 0.0449),(grow : 0.0001),(chimeric : 0.0229),(awake : 0.0227),(mediate : 0.0001),(parallel : 0.0001),(novo : 0.0001),(th : 0.0001),(taqe : 0.0153),(qtl : 0.0001),(nd : 0.0234),(hsppro : 0.0143),(phinpi : 0.0143),(uv : 0.0001),(herbarium : 0.0001),(nopsm : 0.0247),(organellar : 0.0001),(ft : 0.0256),(landsberg : 0.0234),(amplification : 0.0229),(combinatorial : 0.023),(flowering : 0.0001),(correct : 0.0229),(cybrid : 0.0001),(line : 0.0422),(stability : 0.0001),(restore : 0.0001),(nrpd : 0.0457),(athaliana : 0.0399),(palindrome : 0.0229),(chipinput : 0.0456),(gradient : 0.0246),(epigenetic : 0.0001),(deficiency : 0.0001),(molecule : 0.0001),(southern : 0.0001),(meiosis : 0.0234),(npr : 0.0243),(pacasus : 0.0229),(early : 0.0052),(colpat : 0.0001),(reduction : 0.0001),(blus : 0.0228),(enable : 0.0001),(lineage : 0.0002),(photomorphogenesis : 0.0001),(rearrangement : 0.0143),(establishment : 0.0001),(extraction : 0.0001),(sequencing : 0.0153),(endonuclease : 0.0143),(condition : 0.0231),(novel : 0.0146),(density : 0.0001),(play : 0.0228),(tetrad : 0.0086),(restriction : 0.0143),(palindromic : 0.0229),(awe : 0.0227),(pools : 0.023),(onsen : 0.0228),(plastid : 0.0275),(colonize : 0.0001),(pe : 0.0247),(pacbio : 0.0454),(altitudinal : 0.0246),(tool : 0.0229),(ltr : 0.0228),(embryogenesis : 0.0001),(selfe : 0.0001),(rescue : 0.0001),(retrotransposon : 0.0464),(homozygous : 0.0378),(evolutionary : 0.0001),(transporter : 0.0227),(patagonia : 0.0001),(fri : 0.0455),(affect : 0.0004),(tt : 0.0459),(italian : 0.0246),(example : 0.0229),(svp : 0.0455),(history : 0.0001),(aha : 0.0228),(montevelha : 0.0075),(de : 0.0001),(create : 0.0229),(speciman : 0.0001),(african : 0.0001),(ultrashort : 0.0001),(marker : 0.0001),(opening : 0.045),(genome : 0.0001),(mainly : 0.0229),(copia : 0.0228),(basis : 0.0003),(background : 0.0001),(phenotype : 0.0001),(consist : 0.0229),(erecta : 0.0234),(reciprocal : 0.0001),(ny : 0.023),(phosphate : 0.0001),(alpine : 0.023),(snrk : 0.0003),(abc : 0.0227),(saja : 0.0234),(underlie : 0.0225),(map : 0.0001),(tsf : 0.0453),(illuminate : 0.0001),(coactivator : 0.0234),(specimen : 0.0001),(transition : 0.0001),(high : 0.0001),(mapping : 0.0001),(espong : 0.0001),(synthase : 0.0001)
11	(sog : 0.001),(ox : 0.01),(wounding : 0.0043),(specific : 0.0004),(instability : 0.0289),(biological : 0.0001),(secrete : 0.0026),(non : 0.0022),(need : 0.0097),(mt : 0.0257),(delimited : 0.0005),(soil : 0.0024),(accumulation : 0.0003),(responsive : 0.0002),(cim : 0.0001),(transcriptome : 0.0001),(auxin : 0.0007),(ict : 0.0099),(cimd : 0.0028),(site : 0.0073),(phase : 0.005),(rnha : 0.0097),(spatiotemporal : 0.0225),(sim : 0.007),(spatially : 0.0005),(organization : 0.0153),(counteract : 0.0097),(antagonism : 0.0097),(hour : 0.0347),(gnotobiotic : 0.0026),(not : 0.0099),(regeneration : 0.0209),(replicate : 0.0001),(hda : 0.0013),(noninfecte : 0.0129),(flood : 0.0373),(type : 0.0144),(transcript : 0.0014),(pb : 0.0003),(iron : 0.0026),(nematode : 0.0186),(wee : 0.0097),(analysis : 0.0001),(beet : 0.0129),(edi : 0.0099),(interplay : 0.0225),(core : 0.0429),(rt : 0.0189),(effect : 0.0245),(improve : 0.0042),(epigenetic : 0.0006),(induction : 0.0014),(deficiency : 0.0099),(cut : 0.0014),(number : 0.0108),(sq : 0.001),(establish : 0.0005),(require : 0.0226),(adaptation : 0.0332),(coumarin : 0.0026),(mutant : 0.0083),(fe : 0.0154),(nutrient : 0.0002),(primary : 0.0466),(magic : 0.0004),(tip : 0.0022),(meta : 0.0028),(transcription : 0.001),(mir : 0.0129),(hashimoto : 0.0026),(network : 0.0005),(repression : 0.0005),(heterodera : 0.0002),(h : 0.0284),(transcriptional : 0.016),(symptom : 0.0099),(siz : 0.0137),(checkpoint : 0.0097),(virilizer : 0.0005),(total : 0.0001),(alteration : 0.0001),(dependent : 0.0087),(± : 0.0179),(vascular : 0.0005),(infect : 0.0002),(comparative : 0.0016),(brassinosteroid : 0.018),(myb : 0.024),(rnasequence : 0.0098),(parent : 0.0008),(day : 0.0005),(factor : 0.0005),(cs : 0.001),(treat : 0.0001),(wox : 0.0157),(induce : 0.0404),(cryopreservation : 0.0002),(zat : 0.0005),(stress : 0.0155),(mo : 0.0098),(harbort : 0.0026),(bri : 0.0097),(system : 0.0146),(schachtii : 0.0002),(ctrl : 0.0365),(omic : 0.0017),(zinc : 0.0295),(expression : 0.0139),(hormone : 0.0473),(pikbb : 0.0099),(f’h : 0.0391),(de : 0.0002),(emb : 0.0099),(analisys : 0.0098),(callus : 0.0001),(regulate : 0.0041),(hu : 0.0097),(nutrition : 0.0026),(parasitism : 0.0129),(interact : 0.0304),(microbiota : 0.0154),(rnase : 0.0097),(pattern : 0.0005),(brassicaceae : 0.0153),(host : 0.0094),(available : 0.0006),(scl : 0.0314),(root : 0.0001),(overexpresse : 0.0349),(phosphorylate : 0.001),(cell : 0.0026),(suvh : 0.0416),(wrky : 0.0008),(microbe : 0.0108),(zeocin : 0.0223),(shoot : 0.0038),(ethylene : 0.0014),(explant : 0.017),(petiole : 0.0023),(damage : 0.0027),(osmotic : 0.0014),(cyst : 0.0129),(manganese : 0.0099),(vs : 0.0001),(ic : 0.0099),(ldl : 0.0007),(methylation : 0.0036)
12	(select : 0.0001),(rna : 0.0001),(cdna : 0.0001),(mrnas : 0.0001),(thaliana : 0.0023),(study : 0.0001),(correspond : 0.0001),(type : 0.0001),(line : 0.0001),(response : 0.0001),(arabidopsis : 0.0001),(wild : 0.0001),(sequence : 0.0001),(early : 0.0001),(mutant : 0.0001),(capseq : 0.0001),(role : 0.0001),(isolation : 0.0001),(gene : 0.0001),(regulation : 0.0001),(eti : 0.0001)
13	(ksk : 0.0439),(uk : 0.0065),(bind : 0.0462),(et : 0.0001),(irradation : 0.0001),(hp : 0.0438),(rna : 0.0001),(generate : 0.0001),(length : 0.0098),(illumina : 0.0149),(ribo : 0.0459),(lrp : 0.0002),(thaliana : 0.0297),(genetic : 0.0001),(upf : 0.0255),(spaac : 0.0017),(dissection : 0.0002),(physiological : 0.0001),(aa : 0.0081),(candidate : 0.0228),(fraction : 0.0442),(gp : 0.0442),(transcribe : 0.0228),(range : 0.0072),(lignification : 0.0438),(transcript : 0.0138),(component : 0.0303),(normalpi : 0.0229),(cuaac : 0.0434),(arabiodpsis : 0.0001),(maternal : 0.0048),(seedle : 0.0014),(tolerance : 0.0001),(pseudomonas : 0.0001),(blue : 0.0001),(nad : 0.0017),(sodium : 0.0462),(primordium : 0.0002),(baa : 0.0333),(txc : 0.044),(ice : 0.0001),(accessions : 0.0439),(colletotrichum : 0.0102),(cxc : 0.0433),(tofieldiae : 0.0102),(datum : 0.0001),(y : 0.0257),(srikant : 0.0001),(cellularization : 0.0433),(hpi : 0.0001),(endosperm : 0.02),(bicarbonate : 0.0462),(scrnaseq : 0.0002),(accurate : 0.0017),(enhancer : 0.0036),(dap : 0.0433),(lateral : 0.0002),(colonization : 0.0387),(seq : 0.005),(mpg : 0.0434),(al : 0.0001),(monoubiquitination : 0.0072),(renseq : 0.0229),(basis : 0.0001),(identification : 0.0042),(viridiflava : 0.0001),(bmi : 0.0072),(hic : 0.0072),(fio : 0.0001),(crycry : 0.0434),(cell : 0.0439),(profile : 0.03),(polycomb : 0.049),(plant : 0.0001),(sha : 0.0001),(nok : 0.0152),(sensitive : 0.0017)
14	(elicitor : 0.0001),(rnaseq : 0.0001),(sd : 0.0004),(course : 0.0001),(panel : 0.0001),(thaliana : 0.0001),(elf : 0.0001),(study : 0.0001),(time : 0.0001),(flsc : 0.0005),(wt : 0.0001),(oh : 0.0001),(ogs : 0.0001),(line : 0.0001),(response : 0.0001),(arabidopsis : 0.0001),(mutant : 0.0001),(point : 0.0001),(receptor : 0.0001),(rlp : 0.0067),(flg : 0.009),(co : 0.0034),(pep : 0.0001),(transcriptomic : 0.0001),(nlp : 0.0006),(r : 0.0001),(efr : 0.0033),(pepr : 0.0001),(fa : 0.0001),(treatment : 0.0001)
15	(svrp : 0.0001),(read : 0.0001),(nyswp : 0.0222),(population : 0.0003),(x : 0.0056),(msh : 0.0216),(individual : 0.0001),(south : 0.0001),(thaliana : 0.0003),(homolog : 0.0001),(mediates : 0.0001),(col : 0.0001),(crossover : 0.0001),(structure : 0.0229),(germany : 0.0001),(nextmet : 0.0001),(vegetative : 0.0001),(dna : 0.0001),(asyhete : 0.0002),(hop : 0.0001),(type : 0.0074),(introduction : 0.0188),(scale : 0.0215),(arabidopsis : 0.0059),(american : 0.0188),(× : 0.0001),(wild : 0.0001),(recqb : 0.0303),(bur : 0.0005),(sequence : 0.0001),(pseudomona : 0.0114),(fine : 0.0191),(maaa : 0.0416),(asy : 0.0001),(rosette : 0.0001),(f : 0.0001),(source : 0.0188),(shotgun : 0.0001),(l : 0.0001),(metagenome : 0.0114),(west : 0.0001),(svrpa : 0.0001),(north : 0.0201),(clc : 0.0066),(eurasia : 0.0188),(genome : 0.0161),(genotype : 0.0001),(ler : 0.0001),(genomic : 0.0001),(recombinant : 0.0001),(r : 0.0008),(short : 0.0001),(sample : 0.0476),(leaf : 0.0008),(identify : 0.0001),(recqa : 0.0355),(ws : 0.0001),(assurance : 0.0001),(tafb : 0.0206),(multiple : 0.0224),(cross : 0.0001),(interference : 0.0001),(location : 0.0001)
16	(iii : 0.0227),(hyp : 0.0092),(elongation : 0.0003),(incompatible : 0.0144),(photoperiod : 0.0049),(sds : 0.011),(lrfr : 0.0069),(transcriptome : 0.0237),(chr : 0.011),(yuc : 0.0111),(cotyledon : 0.043),(tuescha : 0.0144),(membrane : 0.0003),(cdm : 0.0097),(community : 0.0148),(dissect : 0.0015),(microbial : 0.0052),(landscape : 0.0024),(plasma : 0.0003),(n : 0.0461),(lb : 0.0049),(autophagy : 0.0002),(clock : 0.0114),(require : 0.0021),(cot : 0.0025),(hypocotyl : 0.0007),(nc : 0.0076),(harvest : 0.0235),(apex : 0.0272),(ld : 0.0111),(seaweed : 0.0144),(shade : 0.0004),(polyadenylation : 0.0311),(sail : 0.0178),(mock : 0.0484),(circadian : 0.0334),(dcl : 0.0095),(induce : 0.0338),(combination : 0.0007),(co : 0.0102),(cultivar : 0.0304),(biosynthesis : 0.0002),(melatonin : 0.007),(adverse : 0.007),(defense : 0.045),(enrich : 0.011),(microbiota : 0.003),(poco : 0.0026),(antiviral : 0.0143),(ppr : 0.0112),(smt : 0.0092),(alternative : 0.01),(sgtb : 0.007),(shoot : 0.0343),(sterol : 0.0002),(plant : 0.0316),(pkr : 0.011),(pathogen : 0.0449),(mirabd : 0.0025)
17	(double : 0.0066),(arf : 0.0006),(elongation : 0.0034),(outer : 0.0094),(polya : 0.0005),(read : 0.0009),(pubme : 0.0094),(biological : 0.0435),(competition : 0.0001),(recombination : 0.0491),(rna : 0.0034),(sds : 0.0236),(bud : 0.0001),(soc : 0.0094),(embryo : 0.0486),(plus : 0.0199),(transcriptome : 0.0001),(chr : 0.0236),(young : 0.0038),(auxin : 0.0371),(atlas : 0.0051),(smyth : 0.0094),(unopened : 0.0005),(vos : 0.0094),(frp : 0.0001),(strain : 0.0102),(mechanism : 0.003),(ett : 0.0223),(methyltransferase : 0.03),(sop : 0.0109),(atg : 0.0379),(chromatin : 0.0096),(floral : 0.0001),(lib : 0.0013),(bacterial : 0.0462),(miss : 0.0009),(stage : 0.0006),(define : 0.0416),(impair : 0.027),(sf : 0.0095),(partner : 0.0223),(replicate : 0.0014),(ectopic : 0.0119),(rep : 0.0002),(couple : 0.0002),(formation : 0.0181),(silique : 0.0276),(family : 0.0002),(riboseq : 0.0094),(ft : 0.0108),(seed : 0.0457),(defect : 0.0412),(pstk : 0.0095),(founder : 0.0095),(mitochondria : 0.0094),(mbd : 0.0002),(flowering : 0.0023),(silenzio : 0.0002),(flow : 0.0189),(hr : 0.0001),(ap : 0.0322),(knl : 0.0001),(raw : 0.0001),(infloresence : 0.0003),(integument : 0.0094),(mybrmne : 0.0144),(dyt : 0.0002),(targeting : 0.0119),(mutant : 0.0038),(buds : 0.0095),(model : 0.0271),(amirnacwin : 0.0095),(magic : 0.0222),(drmy : 0.0094),(networking : 0.0103),(pmybr : 0.0144),(persimmon : 0.0103),(preflowere : 0.0096),(apex : 0.0001),(pollination : 0.0002),(rkd : 0.0014),(differentiation : 0.0145),(flc : 0.0273),(animal : 0.0181),(sex : 0.0103),(cycloheximide : 0.0093),(domain : 0.0004),(mmc : 0.0005),(comparative : 0.0017),(anther : 0.0001),(megi : 0.0103),(orchestrate : 0.0223),(dytbhlh : 0.0002),(hiseq : 0.0139),(sssi : 0.0119),(dcldcldcl : 0.0035),(inflorescence : 0.0001),(wildtype : 0.0094),(columbia : 0.0009),(dweorg : 0.0094),(recruitment : 0.0001),(svp : 0.0184),(hyl : 0.0378),(gene : 0.0094),(diploid : 0.011),(enrich : 0.0236),(apetala : 0.0093),(zfsssi : 0.0119),(regulate : 0.0005),(determination : 0.0103),(flower : 0.0001),(late : 0.0001),(differential : 0.0031),(cg : 0.0454),(target : 0.001),(organism : 0.0195),(florigen : 0.0001),(development : 0.0126),(depletion : 0.0001),(sample : 0.0351),(apical : 0.0409),(meristem : 0.0001),(biol : 0.0094),(shoot : 0.0002),(kin : 0.027),(tetraploid : 0.011),(tsf : 0.0184),(tfl : 0.0094),(pkr : 0.0236),(bzrs : 0.0094),(modulation : 0.0223),(ovule : 0.0001),(translate : 0.0143),(silence : 0.0087),(methylation : 0.0174)
18	(rna : 0.0001),(rd : 0.0001),(b : 0.0393),(thaliana : 0.0009),(redundantly : 0.0077),(abscission : 0.027),(accession : 0.0001),(kinase : 0.0487),(atsk : 0.0077),(hybrid : 0.0001),(s : 0.0001),(library : 0.0001),(shb : 0.0001),(seq : 0.0001),(libpl : 0.0001)
19	(egg : 0.041),(adapt : 0.0005),(inoculation : 0.0167),(delay : 0.0005),(demethylation : 0.0005),(polya : 0.0319),(read : 0.0486),(histone : 0.0009),(amendment : 0.0167),(pti : 0.0015),(confer : 0.0486),(min : 0.0001),(rna : 0.0098),(ddd : 0.0262),(contribute : 0.0004),(sirna : 0.0024),(week : 0.0001),(responsive : 0.0026),(coilin : 0.0165),(srkdei : 0.0408),(transcriptome : 0.038),(illumina : 0.0064),(arpvil : 0.014),(moss : 0.0139),(mirna : 0.0213),(spotlight : 0.0001),(dormancy : 0.011),(eil : 0.0316),(sfpa : 0.0174),(activity : 0.007),(mediate : 0.0002),(pad : 0.0275),(unequally : 0.0169),(man : 0.0273),(feeding : 0.045),(stage : 0.0019),(sucrose : 0.039),(heat : 0.0096),(raf : 0.0269),(hda : 0.0002),(deficient : 0.0006),(germination : 0.0165),(intracellular : 0.018),(rep : 0.0001),(mannitol : 0.0001),(slim : 0.0316),(agrochemical : 0.0139),(warm : 0.0408),(virc : 0.0156),(family : 0.0266),(oviposition : 0.0141),(pre : 0.0461),(seedling : 0.0181),(vil : 0.0408),(pao : 0.0262),(old : 0.0034),(isothiocyanate : 0.0139),(end : 0.0003),(evoke : 0.0001),(analysis : 0.0229),(me : 0.0294),(molecular : 0.0001),(hdta : 0.0001),(cadmium : 0.0139),(tolerance : 0.0441),(suecica : 0.0002),(wide : 0.0384),(athaliana : 0.0165),(spot : 0.0279),(pair : 0.0002),(transposable : 0.014),(helper : 0.0169),(leave : 0.0009),(atrsga : 0.014),(oxidative : 0.0154),(hair : 0.0001),(trichoplusia : 0.045),(mutant : 0.0152),(dark : 0.0039),(brush : 0.0001),(prr : 0.0015),(rosette : 0.0001),(salk : 0.0086),(gsnor : 0.0001),(conferring : 0.0139),(mechanosensory : 0.0138),(biogenesis : 0.0002),(stimulus : 0.0138),(raindrop : 0.0001),(atark : 0.0139),(transcription : 0.0015),(exclusion : 0.0138),(cap : 0.0001),(epitranscriptome : 0.029),(locus : 0.0407),(gl : 0.0001),(crude : 0.0141),(caterpillar : 0.045),(hdtb : 0.0001),(aba : 0.0002),(undergo : 0.0001),(natural : 0.0012),(abundant : 0.0001),(ago : 0.0024),(extract : 0.0302),(avrrps : 0.0061),(tfiis : 0.0142),(tspm : 0.0139),(feedback : 0.0001),(endophyte : 0.0167),(sail : 0.0361),(deacetylase : 0.0001),(hdb : 0.0001),(element : 0.0238),(immune : 0.0001),(arenosa : 0.0002),(temperature : 0.0043),(gmwrky : 0.0139),(sahh : 0.0139),(homozygous : 0.0279),(bm : 0.0015),(induce : 0.031),(improvement : 0.0139),(influence : 0.0001),(axe : 0.0312),(stress : 0.0073),(mechanical : 0.0138),(mechanosensation : 0.0001),(unknown : 0.0001),(function : 0.007),(microm : 0.0139),(redundant : 0.0169),(expression : 0.0006),(modulate : 0.0046),(ni : 0.045),(gene : 0.0003),(regulation : 0.0055),(trichome : 0.0001),(opening : 0.0278),(decay : 0.0085),(knockout : 0.014),(cg : 0.0158),(synthetic : 0.0002),(putative : 0.0375),(mature : 0.0038),(organic : 0.0167),(slicer : 0.0024),(sensor : 0.0169),(repress : 0.0005),(leaf : 0.0001),(cell : 0.0357),(abiotic : 0.0012),(collection : 0.0467),(bp : 0.0002),(drought : 0.0005),(combine : 0.0001),(plant : 0.0003),(grid : 0.0068),(like : 0.0001),(fpa : 0.0312),(mirnaome : 0.0138),(chromosome : 0.0486)
20	(et : 0.0001),(generate : 0.0001),(ampliconseqbatch : 0.0001),(datum : 0.0001),(srikant : 0.0001),(s : 0.0001),(amplicon : 0.0001),(seq : 0.0001),(al : 0.0001)
21	(ox : 0.0156),(wounding : 0.0119),(apl : 0.0258),(complexity : 0.0001),(companion : 0.0017),(minimum : 0.011),(drive : 0.0095),(binding : 0.0301),(cluster : 0.0021),(phloem : 0.005),(g : 0.0158),(derive : 0.0039),(unopened : 0.0015),(trajectory : 0.0001),(yucasin : 0.014),(activation : 0.0097),(stage : 0.0016),(reprogramming : 0.0233),(maturation : 0.0001),(hda : 0.0182),(mb : 0.0119),(seed : 0.0001),(prevent : 0.0261),(analysis : 0.0001),(metabolism : 0.0016),(sperm : 0.0286),(epipremnum : 0.0005),(cellular : 0.0001),(interaction : 0.0158),(aureum : 0.0005),(oscillation : 0.011),(follow : 0.0115),(cut : 0.0037),(specialized : 0.0009),(bent : 0.0116),(overlapping : 0.0489),(ecotype : 0.0001),(tpr : 0.0265),(clock : 0.0308),(pollen : 0.0001),(dex : 0.0024),(zone : 0.011),(primary : 0.0025),(ralf : 0.0005),(differentiate : 0.0003),(e : 0.0136),(grcha : 0.0009),(oz : 0.011),(resolution : 0.0001),(evorepro : 0.0001),(fer : 0.0153),(transcriptional : 0.0001),(link : 0.0001),(differentiation : 0.0279),(tobacco : 0.0005),(embryos : 0.0377),(nucleus : 0.0001),(total : 0.0254),(developmental : 0.0001),(phytoph : 0.0399),(eaf : 0.0005),(polyadenylation : 0.018),(rewire : 0.0258),(protoplast : 0.0033),(parental : 0.0305),(imprinting : 0.0001),(slx : 0.0001),(xylem : 0.0406),(affect : 0.0252),(biosynthesis : 0.0074),(omic : 0.0037),(cyp : 0.0444),(process : 0.011),(single : 0.0001),(chromomethylase : 0.0116),(callus : 0.022),(rcmt : 0.0116),(flower : 0.0284),(aftercut : 0.0266),(differential : 0.0065),(tb : 0.0005),(development : 0.0403),(tissue : 0.0001),(cell : 0.001),(meristem : 0.0001),(inhibit : 0.0326),(agfp : 0.015),(tf : 0.0025),(petiole : 0.0066),(event : 0.0405),(specialization : 0.0001),(plant : 0.0018),(collateral : 0.0116),(peptide : 0.0443),(generation : 0.0131),(like : 0.0243),(p : 0.0001),(alternation : 0.0258)
22	(read : 0.0001),(enlargement : 0.0001),(origin : 0.0068),(bypass : 0.0028),(transcriptome : 0.0214),(atlas : 0.0486),(allelic : 0.0041),(thaliana : 0.0028),(interploidy : 0.0028),(zerohap : 0.0028),(seed : 0.0001),(ovary : 0.0005),(arabidopsis : 0.0004),(raw : 0.0001),(hap : 0.0036),(sequence : 0.0037),(pollen : 0.0081),(fertilization : 0.0001),(point : 0.0239),(pollination : 0.0001),(content : 0.0001),(developmental : 0.0026),(endosperm : 0.0334),(initiate : 0.0002),(parent : 0.0117),(day : 0.0001),(tube : 0.0001),(barrier : 0.0102),(different : 0.0133),(hybridization : 0.0028),(enhance : 0.0001),(development : 0.0039),(sample : 0.0001),(profile : 0.0086),(lerler : 0.0041),(plant : 0.0018),(mea : 0.0005),(stem : 0.0213),(hypomethylation : 0.0028),(ovule : 0.0069),(versus : 0.0005)
23	(incompatible : 0.0451),(rna : 0.0001),(rd : 0.0298),(tuescha : 0.0136),(thaliana : 0.0001),(accession : 0.0149),(hybrid : 0.0001),(library : 0.0001),(shb : 0.0001),(seq : 0.0001),(libpl : 0.0031)
24	(rna : 0.0001),(thaliana : 0.0001),(accession : 0.0426),(e : 0.0229),(norflurazon : 0.0461),(hybrid : 0.0001),(library : 0.0001),(pif : 0.0416),(ppi : 0.0461),(shb : 0.0001),(seq : 0.0001),(xmyc : 0.0416),(libpl : 0.0111)
25	(arf : 0.016),(et : 0.0162),(rna : 0.0001),(htr : 0.0001),(derive : 0.0312),(atlas : 0.0466),(elf : 0.044),(staman : 0.0059),(chromatin : 0.0273),(stage : 0.0001),(define : 0.014),(cell­ : 0.0086),(reprogramming : 0.0014),(rep : 0.0158),(epigenetic : 0.0007),(stamen : 0.003),(jmj : 0.0185),(ecotype : 0.0001),(cop : 0.0059),(paternal : 0.0001),(pollen : 0.0001),(mutant : 0.0161),(nurse : 0.0086),(translatome : 0.0029),(evorepro : 0.0001),(ref : 0.0207),(alteration : 0.0196),(developmental : 0.0001),(anther : 0.0144),(rewire : 0.0074),(memory : 0.0001),(reprogramme : 0.0187),(inheritance : 0.0086),(germinate : 0.0029),(seq : 0.0012),(small : 0.0265),(flower : 0.0182),(reset : 0.0001),(target : 0.0098),(ler : 0.0336),(mature : 0.0002),(sample : 0.0004),(event : 0.0103),(generation : 0.0373),(alternation : 0.0074),(versus : 0.0087)
26	(cycling : 0.0001),(bury : 0.0001),(defective : 0.0029),(atlas : 0.0004),(dormancy : 0.0001),(replicate : 0.0389),(ds : 0.0029),(seed : 0.0001),(c : 0.0005),(vtc : 0.0029),(vitamin : 0.0029),(prime : 0.0027),(floe : 0.0029),(lifecycle : 0.0002),(columbia : 0.0007),(expression : 0.002),(dry : 0.0014),(gene : 0.0301),(mature : 0.0127),(imbibe : 0.0005),(vs : 0.0369)
27	(u : 0.0006),(plate : 0.0001),(bc : 0.0001),(female : 0.0001),(ch : 0.0049),(ar : 0.0068),(population : 0.0001),(x : 0.0001),(b : 0.0004),(south : 0.0023),(col : 0.0001),(germany : 0.0022),(nextmet : 0.0022),(crosse : 0.0001),(cc : 0.0002),(cj : 0.0045),(type : 0.0001),(cn : 0.0003),(aj : 0.0021),(bb : 0.0024),(bn : 0.0055),(ao : 0.0092),(resequencing : 0.0001),(arabidopsis : 0.0004),(ap : 0.0049),(wild : 0.0001),(cd : 0.0264),(uracil : 0.0446),(bj : 0.0001),(heip : 0.0001),(pseudomona : 0.0264),(zyp : 0.0001),(y : 0.0002),(male : 0.0001),(heioe : 0.0001),(bv : 0.0057),(f : 0.0052),(ohmlnpx : 0.0483),(ax : 0.0004),(shotgun : 0.0022),(ad : 0.0003),(metagenome : 0.0264),(aq : 0.0005),(ah : 0.0026),(bm : 0.0145),(west : 0.0022),(ci : 0.0001),(bi : 0.0026),(bk : 0.0028),(bt : 0.0056),(genome : 0.0001),(cb : 0.0084),(ler : 0.0001),(short : 0.0033),(cq : 0.0001),(ak : 0.0024),(glycosylase : 0.0446),(ba : 0.0077),(af : 0.009)
28	(iii : 0.0137),(profiling : 0.0003),(effector : 0.0016),(express : 0.0016),(exprss : 0.0065),(illumina : 0.0276),(emoy : 0.0093),(highly : 0.0012),(salicylic : 0.0013),(lib : 0.0013),(biorep : 0.0012),(attenuate : 0.0012),(seedling : 0.0003),(delta : 0.0001),(base : 0.0351),(downy : 0.0012),(mildew : 0.0012),(hr : 0.0221),(interaction : 0.0016),(model : 0.0001),(ddpi : 0.0012),(throughput : 0.0089),(animal : 0.0001),(acid : 0.013),(temperature : 0.0429),(hec : 0.0022),(method : 0.0154),(expression : 0.0002),(performance : 0.0001),(seq : 0.0463),(ho : 0.0151),(test : 0.0001),(reveal : 0.0259),(organism : 0.0001),(lane : 0.0038),(sample : 0.0006),(aerial : 0.0014),(ambient : 0.0071),(high : 0.0062)
